snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-24,P1_seed0,P1,0,,test,8,0.02771108,88,0
2026-02-24,P1_seed0,P1,0,,test,80,0.41570557,23,0
2026-02-24,P1_seed0,P1,0,,test,81,0.27648101,38,0
2026-02-24,P1_seed0,P1,0,,test,82,0.12753395,57,0
2026-02-24,P1_seed0,P1,0,,test,83,0.01570557,94,0
2026-02-24,P1_seed0,P1,0,,test,84,0.00271600,107,0
2026-02-24,P1_seed0,P1,0,,test,85,0.02901004,87,0
2026-02-24,P1_seed0,P1,0,,test,86,0.12714033,58,0
2026-02-24,P1_seed0,P1,0,,test,87,0.23711868,42,0
2026-02-24,P1_seed0,P1,0,,test,88,0.37047825,27,0
2026-02-24,P1_seed0,P1,0,,test,89,0.51363905,12,0
2026-02-24,P1_seed0,P1,0,,test,9,0.04003149,82,0
2026-02-24,P1_seed0,P1,0,,test,90,0.56264515,2,0
2026-02-24,P1_seed0,P1,0,,test,91,0.52288920,10,0
2026-02-24,P1_seed0,P1,0,,test,92,0.53560323,7,0
2026-02-24,P1_seed0,P1,0,,test,93,0.45030506,19,0
2026-02-24,P1_seed0,P1,0,,test,94,0.28140130,36,0
2026-02-24,P1_seed0,P1,0,,test,95,0.11308797,62,0
2026-02-24,P1_seed0,P1,0,,test,96,0.01117890,99,0
2026-02-24,P1_seed0,P1,0,,test,97,0.00000000,122,1
2026-02-24,P1_seed0,P1,0,,test,98,0.00035426,116,0
2026-02-24,P1_seed0,P1,0,,test,99,0.01141508,98,0
2026-02-24,P1_seed0,P1,0,,train,0,0.00000000,122,1
2026-02-24,P1_seed0,P1,0,,train,1,0.03581708,85,0
2026-02-24,P1_seed0,P1,0,,train,10,0.02926430,88,0
2026-02-24,P1_seed0,P1,0,,train,100,0.01410404,98,0
2026-02-24,P1_seed0,P1,0,,train,101,0.02928162,87,0
2026-02-24,P1_seed0,P1,0,,train,102,0.08098426,68,0
2026-02-24,P1_seed0,P1,0,,train,103,0.13230790,55,0
2026-02-24,P1_seed0,P1,0,,train,104,0.23543422,43,0
2026-02-24,P1_seed0,P1,0,,train,105,0.39338951,26,0
2026-02-24,P1_seed0,P1,0,,train,106,0.53570549,6,0
2026-02-24,P1_seed0,P1,0,,train,107,0.53784871,5,0
2026-02-24,P1_seed0,P1,0,,train,108,0.55793028,1,0
2026-02-24,P1_seed0,P1,0,,train,109,0.45810343,17,0
2026-02-24,P1_seed0,P1,0,,train,11,0.01950633,93,0
2026-02-24,P1_seed0,P1,0,,train,110,0.27837739,38,0
2026-02-24,P1_seed0,P1,0,,train,111,0.06491593,71,0
2026-02-24,P1_seed0,P1,0,,train,112,0.00940205,102,0
2026-02-24,P1_seed0,P1,0,,train,113,0.00432683,109,0
2026-02-24,P1_seed0,P1,0,,train,114,0.00557928,107,0
2026-02-24,P1_seed0,P1,0,,train,115,0.00829967,104,0
2026-02-24,P1_seed0,P1,0,,train,116,0.00434415,108,0
2026-02-24,P1_seed0,P1,0,,train,117,0.01304013,100,0
2026-02-24,P1_seed0,P1,0,,train,118,0.04203509,81,0
2026-02-24,P1_seed0,P1,0,,train,119,0.09685636,64,0
2026-02-24,P1_seed0,P1,0,,train,12,0.12742699,58,0
2026-02-24,P1_seed0,P1,0,,train,120,0.23139982,44,0
2026-02-24,P1_seed0,P1,0,,train,121,0.41029474,24,0
2026-02-24,P1_seed0,P1,0,,train,122,0.54825888,3,0
2026-02-24,P1_seed0,P1,0,,train,123,0.54158683,4,0
2026-02-24,P1_seed0,P1,0,,train,13,0.05712802,73,0
2026-02-24,P1_seed0,P1,0,,train,14,0.09191966,66,0
2026-02-24,P1_seed0,P1,0,,train,15,0.05676440,74,0
2026-02-24,P1_seed0,P1,0,,train,16,0.05590250,75,0
2026-02-24,P1_seed0,P1,0,,train,17,0.07664396,69,0
2026-02-24,P1_seed0,P1,0,,train,18,0.08565739,67,0
2026-02-24,P1_seed0,P1,0,,train,19,0.02485475,89,0
2026-02-24,P1_seed0,P1,0,,train,2,0.00910193,103,0
2026-02-24,P1_seed0,P1,0,,train,20,0.18076109,50,0
2026-02-24,P1_seed0,P1,0,,train,21,0.11923698,61,0
2026-02-24,P1_seed0,P1,0,,train,22,0.09435146,65,0
2026-02-24,P1_seed0,P1,0,,train,23,0.04717188,79,0
2026-02-24,P1_seed0,P1,0,,train,24,0.04893609,78,0
2026-02-24,P1_seed0,P1,0,,train,25,0.09983070,63,0
2026-02-24,P1_seed0,P1,0,,train,26,0.14351456,52,0
2026-02-24,P1_seed0,P1,0,,train,27,0.13876255,54,0
2026-02-24,P1_seed0,P1,0,,train,28,0.21392512,48,0
2026-02-24,P1_seed0,P1,0,,train,29,0.12093386,59,0
2026-02-24,P1_seed0,P1,0,,train,3,0.00558890,106,0
2026-02-24,P1_seed0,P1,0,,train,30,0.04439378,80,0
2026-02-24,P1_seed0,P1,0,,train,31,0.01541999,96,0
2026-02-24,P1_seed0,P1,0,,train,32,0.03607680,84,0
2026-02-24,P1_seed0,P1,0,,train,33,0.11619147,62,0
2026-02-24,P1_seed0,P1,0,,train,34,0.16764208,51,0
2026-02-24,P1_seed0,P1,0,,train,35,0.22597830,45,0
2026-02-24,P1_seed0,P1,0,,train,36,0.22376198,46,0
2026-02-24,P1_seed0,P1,0,,train,37,0.00042133,120,0
2026-02-24,P1_seed0,P1,0,,train,38,0.00235099,115,0
2026-02-24,P1_seed0,P1,0,,train,39,0.00076571,118,0
2026-02-24,P1_seed0,P1,0,,train,4,0.00656432,105,0
2026-02-24,P1_seed0,P1,0,,train,40,0.00415368,110,0
2026-02-24,P1_seed0,P1,0,,train,41,0.06598369,70,0
2026-02-24,P1_seed0,P1,0,,train,42,0.20609681,49,0
2026-02-24,P1_seed0,P1,0,,train,43,0.29707184,34,0
2026-02-24,P1_seed0,P1,0,,train,44,0.00147562,116,0
2026-02-24,P1_seed0,P1,0,,train,45,0.00130825,117,0
2026-02-24,P1_seed0,P1,0,,train,46,0.01327100,99,0
2026-02-24,P1_seed0,P1,0,,train,47,0.05122744,76,0
2026-02-24,P1_seed0,P1,0,,train,48,0.00274539,114,0
2026-02-24,P1_seed0,P1,0,,train,49,0.01589711,95,0
2026-02-24,P1_seed0,P1,0,,train,5,0.01119704,101,0
2026-02-24,P1_seed0,P1,0,,train,50,0.34876679,29,0
2026-02-24,P1_seed0,P1,0,,train,51,0.05893647,72,0
2026-02-24,P1_seed0,P1,0,,train,52,0.14076148,53,0
2026-02-24,P1_seed0,P1,0,,train,53,0.26630498,40,0
2026-02-24,P1_seed0,P1,0,,train,54,0.34818577,31,0
2026-02-24,P1_seed0,P1,0,,train,55,0.43102851,21,0
2026-02-24,P1_seed0,P1,0,,train,56,0.00000000,121,1
2026-02-24,P1_seed0,P1,0,,train,57,0.29308361,35,0
2026-02-24,P1_seed0,P1,0,,train,58,0.00000000,123,1
2026-02-24,P1_seed0,P1,0,,train,59,0.28477240,36,0
2026-02-24,P1_seed0,P1,0,,train,6,0.04981338,77,0
2026-02-24,P1_seed0,P1,0,,train,60,0.40118896,25,0
2026-02-24,P1_seed0,P1,0,,train,61,0.45639694,18,0
2026-02-24,P1_seed0,P1,0,,train,62,0.44052291,20,0
2026-02-24,P1_seed0,P1,0,,train,63,0.34872638,30,0
2026-02-24,P1_seed0,P1,0,,train,64,0.00042518,119,0
2026-02-24,P1_seed0,P1,0,,train,65,0.30486937,33,0
2026-02-24,P1_seed0,P1,0,,train,66,0.43024741,22,0
2026-02-24,P1_seed0,P1,0,,train,67,0.48774674,14,0
2026-02-24,P1_seed0,P1,0,,train,68,0.56257647,0,0
2026-02-24,P1_seed0,P1,0,,train,69,0.46932741,15,0
2026-02-24,P1_seed0,P1,0,,train,7,0.03176536,86,0
2026-02-24,P1_seed0,P1,0,,train,70,0.37064143,28,0
2026-02-24,P1_seed0,P1,0,,train,71,0.25545423,41,0
2026-02-24,P1_seed0,P1,0,,train,72,0.02364269,91,0
2026-02-24,P1_seed0,P1,0,,train,73,0.22372157,47,0
